yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Date,month#,Hive_No,Seams_bees,bees_cm2,capped_cm2,open_cm2,pollen_cm2,nectar_cm2,empty_cm2,fondation_cm2,total_comb,capped_%comb,open_%comb,pollen_%comb,nectar_%comb,empty_%comb,drone_cm2,Varroa(Incomplete)
2015IB,IB,22%,0.567821225,0.055341812,622,6,66,15,6790.24,6078.36,1861.84,3011.8,15387.56,17008.456,13164.304,43348.016,14.02%,4.30%,6.95%,35.50%,39.24%,0,4
2015IB,IB,22%,0.567821225,0.055341812,622,6,67,24,8980.64,7009.28,3176.08,3723.68,9473.48,31804.608,9210.632,55187.128,12.70%,5.76%,6.75%,17.17%,57.63%,54.76,0
2015MO,MO,39%,0.890885121,0.116809071,818,8,1,12,8652.08,5530.76,3449.88,2464.2,11609.12,5202.2,13799.52,28256.16,19.57%,12.21%,8.72%,41.09%,18.41%,164.28,0
2015MO,MO,39%,0.890885121,0.116809071,818,8,2,13,11937.68,5640.28,3449.88,4380.8,21192.12,5202.2,12704.32,39865.28,14.15%,8.65%,10.99%,53.16%,13.05%,164.28,0
2015SC,SC,8%,0.557895802,0.085869496,819,8,3,12,7611.64,2245.16,2683.24,2573.72,10021.08,4939.352,19593.128,22462.552,10.00%,11.95%,11.46%,44.61%,21.99%,54.76,0
2015SC,SC,8%,0.557895802,0.085869496,819,8,4,15,13690,4216.52,3614.16,6297.4,9966.32,1314.24,16647.04,25408.64,16.59%,14.22%,24.78%,39.22%,5.17%,328.56,2
2015HR,HR,30%,0.959180946,0.005853495,817,8,5,16,17358.92,4599.84,2080.88,5366.48,10349.64,7042.136,23130.624,29438.976,15.63%,7.07%,18.23%,35.16%,23.92%,328.56,0
2015HR,HR,30%,0.959180946,0.005853495,817,8,6,26,10732.96,5421.24,5695.04,7228.32,18946.96,3975.576,11302.464,41267.136,13.14%,13.80%,17.52%,45.91%,9.63%,766.64,1
2015FSR,FSR,49%,1.676940638,0.173394478,817,8,8,19,22123.04,3833.2,821.4,6297.4,29351.36,10842.48,1369,51145.84,7.49%,1.61%,12.31%,57.39%,21.20%,0,16
2015FSR,FSR,49%,1.676940638,0.173394478,817,8,9,16,16975.6,3942.72,1314.24,6680.72,30446.56,5618.376,4566.984,48002.616,8.21%,2.74%,13.92%,63.43%,11.70%,219.04,9
2015MB,MB,19%,0.630509924,0.093388841,822,8,10,15,14511.4,5476,3833.2,3997.48,9692.52,4687.456,14369.024,27686.656,19.78%,13.84%,14.44%,35.01%,16.93%,328.56,1
2015MB,MB,19%,0.630509924,0.093388841,822,8,11,9,6461.68,3176.08,3395.12,1369,7392.6,6417.872,20305.008,21750.672,14.60%,15.61%,6.29%,33.99%,29.51%,54.76,1
2015WB,WB,30%,0.328982,0.090912312,818,8,12,18,12704.32,4599.84,2190.4,3066.56,13909.04,6680.72,11718.64,30446.56,15.11%,7.19%,10.07%,45.68%,21.94%,328.56,0
2015WB,WB,30%,0.328982,0.090912312,818,8,13,17,15825.64,5256.96,2738,4599.84,29132.32,9363.96,1478.52,51091.08,10.29%,5.36%,9.00%,57.02%,18.33%,273.8,0
2015MO,MO,39%,0.890885121,0.116809071,821,8,16,30,31103.68,6023.6,3778.44,4764.12,30337.04,4380.8,3285.6,49284,12.22%,7.67%,9.67%,61.56%,8.89%,0,6
2015SC,SC,8%,0.557895802,0.085869496,818,8,17,22,7940.2,1916.6,547.6,7228.32,24970.56,1325.192,6067.408,35988.272,5.33%,1.52%,20.09%,69.39%,3.68%,0,3
2015HR,HR,30%,0.959180946,0.005853495,817,8,20,13,14237.6,5256.96,3668.92,3723.68,3942.72,15080.904,10382.496,31673.184,16.60%,11.58%,11.76%,12.45%,47.61%,164.28,8
2015FSR,FSR,49%,1.676940638,0.173394478,817,8,21,18,21630.2,5421.24,4161.76,6899.76,22177.8,6845,7064.04,45505.56,11.91%,9.15%,15.16%,48.74%,15.04%,492.84,8
